Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Tipo: Municipio / Isla / Área no municipalizada,longitud,Latitud,IATA,ICAO,Airport name,Country,City,Information
76,VALLE DEL CAUCA,76834,tuluá,Municipio,"-76,197731","4,085399",ULQ,SKUL,Heriberto Gíl Martínez Airport,Colombia,tuluá,https://www.worlddata.info/america/colombia/airports.php
81,ARAUCA,81001,arauca,Municipio,"-70,747408","7,072726",AUC,SKUC,Santiago Perez Airport,Colombia,arauca,https://www.worlddata.info/america/colombia/airports.php
81,ARAUCA,81220,cravo norte,Municipio,"-70,204286","6,303913",RAV,SKCN,Cravo Norte Airport,Colombia,cravo norte,https://www.worlddata.info/america/colombia/airports.php
81,ARAUCA,81736,saravena,Municipio,"-71,872812","6,953926",RVE,SKSA,Los Colonizadores Airport,Colombia,saravena,https://www.worlddata.info/america/colombia/airports.php
81,ARAUCA,81794,tame,Municipio,"-71,754427","6,453324",TME,SKTM,Gustavo Vargas Airport,Colombia,tame,https://www.worlddata.info/america/colombia/airports.php
85,CASANARE,85125,hato corozal,Municipio,"-71,764213","6,154099",HTZ,SKHC,Hato Corozal Airport,Colombia,hato corozal,https://www.worlddata.info/america/colombia/airports.php
85,CASANARE,85250,paz de ariporo,Municipio,"-71,890348","5,879827",PZA,SKPZ,Paz De Ariporo Airport,Colombia,paz de ariporo,https://www.worlddata.info/america/colombia/airports.php
85,CASANARE,85263,pore,Municipio,"-71,99286","5,72773",PRE,,Pore Airport,Colombia,pore,https://www.worlddata.info/america/colombia/airports.php
85,CASANARE,85325,san luis de palenque,Municipio,"-71,732198","5,422397",SQE,,San Luis De Palenque Airport,Colombia,san luis de palenque,https://www.worlddata.info/america/colombia/airports.php
85,CASANARE,85410,tauramena,Municipio,"-72,74662","5,018977",TAU,,Tauramena Airport,Colombia,tauramena,https://www.worlddata.info/america/colombia/airports.php
